OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;COORDS;LNG;LAT;
215;"Tram";"5 | 51";"05|51";3;"POINT(4.868836,52.331428)";"4,868836";"52,331428";
216;"Tram";"5 | 51";"05|51";3;"POINT(4.869148,52.321629)";"4,869148";"52,321629";
217;"Tram";"5 | 51";"05|51";3;"POINT(4.870285,52.316563)";"4,870285";"52,316563";
218;"Tram";"5 | 51";"05|51";3;"POINT(4.872227,52.31237)";"4,872227";"52,31237";
219;"Tram";"5 | 51";"05|51";3;"POINT(4.872507,52.308282)";"4,872507";"52,308282";
220;"Tram";"5 | 51";"05|51";3;"POINT(4.871971,52.303252)";"4,871971";"52,303252";
221;"Tram";"1 | 17 | 50";"01|17|50";3;"POINT(4.834372,52.357892)";"4,834372";"52,357892";
222;"Tram";"12 | 50";"12|50";3;"POINT(4.838884,52.388601)";"4,838884";"52,388601";
223;"Tram";"13 | 50";"13|50";3;"POINT(4.835497,52.373125)";"4,835497";"52,373125";
224;"Tram";"7 | 14 | 50";"07|14|50";3;"POINT(4.837879,52.378835)";"4,837879";"52,378835";
225;"Tram";"2 | 50";"02|50";3;"POINT(4.834333,52.351503)";"4,834333";"52,351503";
226;"Tram";"24 | 50";"24|50";3;"POINT(4.85727,52.338392)";"4,85727";"52,338392";
227;"Tram";"4 | 50 | 51";"04|50|51";3;"POINT(4.890723,52.337004)";"4,890723";"52,337004";
228;"Tram";"5 | 24 | 51";"05|24|51";3;"POINT(4.868319,52.334818)";"4,868319";"52,334818";
229;"Tram";"5 | 51";"05|51";3;"POINT(4.868965,52.325403)";"4,868965";"52,325403";
230;"Tram";"1 | 2 | 4 | 5 | 9 | 13 | 17 | 24 | 26 | 51 | 53 | 54";"01|02|04|05|09|13|17|24|26|51|53|54";3;"POINT(4.899752,52.378048)";"4,899752";"52,378048";
231;"Tram";"9 | 14 | 51 | 53 | 54";"09|14|51|53|54";3;"POINT(4.9024,52.367347)";"4,9024";"52,367347";
232;"Tram";"7 | 10 | 51 | 53 | 54";"07|10|51|53|54";3;"POINT(4.907977,52.361171)";"4,907977";"52,361171";
233;"Tram";"12 | 51 | 53 | 54";"12|51|53|54";3;"POINT(4.918296,52.346661)";"4,918296";"52,346661";
234;"Metro";"53";"53";5;"POINT(4.956446,52.330268)";"4,956446";"52,330268";
235;"Tram";"26";"26";3;"POINT(4.96896,52.368937)";"4,96896";"52,368937";
236;"Tram";"13 | 14 | 17";"13|14|17";3;"POINT(4.884105,52.374033)";"4,884105";"52,374033";
237;"Tram";"24";"24";3;"POINT(4.891986,52.362791)";"4,891986";"52,362791";

